,id,latitud,longitud,geocodes
0,1,-34.6393,-58.528647,Avenida Rivadavia;11674
1,2,-34.611807,-58.528138,Avenida Lope de Vega;3500
2,3,-34.616468,-58.528111,Avenida Francisco Beiró;-9999
3,4,-34.616344,-58.527918,Avenida Francisco Beiró;-9999
4,5,-34.616344,-58.527918,Avenida Francisco Beiró;-9999
5,6,-34.636384,-58.527744,Amadeo Jacques;6980
6,7,-34.616377,-58.527598,Francisco Bauzá;2780
7,8,-34.644692,-58.527501,Tuyutí;7205
8,9,-34.644636,-58.527448,José León Suárez;493
9,10,-34.6448,-58.527318,José León Suárez;-9999
10,11,-34.640227,-58.526303,Coronel Ramón Lorenzo Falcón;7099
11,12,-34.613664,-58.525795,Avenida Lope de Vega;3176
12,13,-34.634756,-58.525731,Madero;-9999
13,14,-34.63928,-58.525572,Avenida Rivadavia;-9999
14,15,-34.640109,-58.525012,Carhué;-9999
15,16,-34.640116,-58.525001,Carhué;100
16,17,-34.618953,-58.524956,Simbrón;5599
17,18,-34.639152,-58.524767,Avenida Rivadavia;11384
18,19,-34.639152,-58.524767,Avenida Rivadavia;11384
19,20,-34.634597,-58.524032,Fragueiro;399
20,21,-34.640216,-58.523914,Coronel Ramón Lorenzo Falcón;6918
21,22,-34.638967,-58.523671,Cosquín;2
22,23,-34.653309,-58.523208,Montiel;1301
23,24,-34.619266,-58.523095,Moliere;2490
24,25,-34.617376,-58.523038,Virgilio;2600
25,26,-34.63929,-58.522757,Timoteo Gordillo;-9999
26,27,-34.655433,-58.522751,José León Suárez;1522
27,28,-34.65401,-58.522382,Montiel;1391
28,29,-34.654361,-58.522277,Patrón;7440
29,30,-34.634152,-58.522176,Avenida Juan Bautista Justo;9290
30,31,-34.639043,-58.522042,Avenida Rivadavia;11166
31,32,-34.624681,-58.521961,Baigorria;5899
32,33,-34.603966,-58.52117,Allende;4199
33,34,-34.618788,-58.521072,Pedro Lozano;5400
34,35,-34.617176,-58.520975,Avenida Lope de Vega;2700
35,36,-34.627715,-58.520825,Avenida Arregui;6119
36,37,-34.613217,-58.520477,Cervantes;3100
37,38,-34.613217,-58.520477,Cervantes;3100
38,39,-34.617421,-58.520463,Avenida Lope de Vega;2643
39,40,-34.645144,-58.520301,Avenida Lisandro de la Torre;564
40,41,-34.610903,-58.520006,Avenida Francisco Beiró;4957
41,42,-34.632547,-58.519938,Avenida Álvarez Jonte;6272
42,43,-34.620137,-58.519935,Melincué;5429
43,44,-34.610833,-58.519639,Avenida Francisco Beiró;4930
44,45,-34.611888,-58.519599,Bermúdez;3122
45,46,-34.646748,-58.519598,Pilar;647
46,47,-34.647683,-58.519595,Avenida Lisandro de la Torre;800
47,48,-34.63932,-58.519592,Martiniano Leguizamón;14
48,49,-34.639283,-58.519324,Avenida Rivadavia;11030
49,50,-34.627271,-58.518693,Ruiz de los Llanos;1293
50,51,-34.645413,-58.51706,Caaguazú;6339
51,52,-34.648619,-58.516958,Pilar;851
52,53,-34.65824,-58.516879,Montiel;1827
53,54,-34.608741,-58.516239,Avenida Francisco Beiró;4672
54,55,-34.621183,-58.515889,Avenida Lope de Vega;2090
55,56,-34.621183,-58.515889,Avenida Lope de Vega;2090
56,57,-34.590319,-58.515643,Avenida San Martín;7204
57,58,-34.608287,-58.51532,Benito Juárez;3493
58,59,-34.597558,-58.515109,Mercedes;4317
59,60,-34.660719,-58.514978,Avenida Juan Bautista Alberdi;-9999
60,61,-34.61991,-58.514645,Marcos Sastre;5202
61,62,-34.650949,-58.514547,Ercilla;6665
62,63,-34.600688,-58.514393,Avenida Salvador María del Carril;4199
63,64,-34.600688,-58.514393,Avenida Salvador María del Carril;4199
64,65,-34.600688,-58.514393,Avenida Salvador María del Carril;4199
65,66,-34.639354,-58.514024,Avenida Rivadavia;10692
66,67,-34.639354,-58.514024,Avenida Rivadavia;10692
67,68,-34.62354,-58.513989,Martín Fierro;5371
68,69,-34.609956,-58.513904,Simbrón;4599
69,70,-34.631587,-58.513653,Elpidio González;5802
70,71,-34.652246,-58.513562,Avenida Lisandro de la Torre;1289
71,72,-34.640423,-58.513456,Coronel Ramón Lorenzo Falcón;6161
72,73,-34.606716,-58.512958,Avenida Francisco Beiró;4408
73,74,-34.652418,-58.512916,Avenida Lisandro de la Torre;1316
74,75,-34.606416,-58.512592,Avenida Francisco Beiró;4386
75,76,-34.650321,-58.512586,Avenida Emilio Castro;-9999
76,77,-34.643324,-58.512333,Avenida Larrazábal;401
77,78,-34.643267,-58.512312,García de Cossio;5999
78,79,-34.659,-58.512007,Avenida Juan Bautista Alberdi;-9999
79,80,-34.628171,-58.511879,Miranda;5555
80,81,-34.58473,-58.511802,Campana;5301
81,82,-34.610198,-58.511737,Marcos Paz;3200
82,83,-34.622709,-58.51152,Lascano;5214
83,84,-34.658498,-58.511353,Andalgalá;-9999
84,85,-34.605742,-58.511292,Avenida Francisco Beiró;4268
