,id,antig,m2total,m2cub,ambientes,banios,latitud,longitud,precioUSD,m2precioUSD,comisaria_dista,obelisco_dista,nrobos,sup_espacio_verde,count_gastronomia,count_culturales,geometry,lon_planar,lat_planar,calle,altura,comunas,barrios,densidad_poblacional,densidad_viviendas,distritos
0,1,0,200,200,0,0,-34.6393,-58.528647,1500000,7500.0,1162.6215999196747,14053.79719123377,134,68426.445,12,0,POINT (-6515379.180859259 -4114970.853546773),-6515379.180859259,-4114970.853546773,Avenida Rivadavia,11674,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
1,2,30,50,50,0,1,-34.611807,-58.528138,125000,2500.0,1887.2270552706616,13473.13937491834,23,110997.543,3,0,POINT (-6515322.519238445 -4111251.604641595),-6515322.519238445,-4111251.604641595,Avenida Lope de Vega,3500,11,VILLA DEVOTO,8847.779055643436,3215.8391586579687,NO CARACTERIZADO
2,3,30,414,414,0,2,-34.616468,-58.528111,590000,1425.120773,1497.0204344304589,13514.662463171391,33,115341.039,5,0,POINT (-6515319.513612195 -4111882.057282486),-6515319.513612195,-4111882.0572824865,Avenida Francisco Beiró,-9999,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
3,4,35,414,414,0,2,-34.616344,-58.527918,730000,1763.0,1506.066813929305,13495.631683178362,33,115500.289,5,0,POINT (-6515298.02895047 -4111865.284430326),-6515298.0289504705,-4111865.284430326,Avenida Francisco Beiró,-9999,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
4,5,35,285,285,0,1,-34.616344,-58.527918,550000,1929.0,1506.066813929305,13495.631683178362,33,115500.289,5,0,POINT (-6515298.02895047 -4111865.284430326),-6515298.0289504705,-4111865.284430326,Avenida Francisco Beiró,-9999,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
5,6,0,20,20,0,0,-34.636384,-58.527744,43000,2150.0,832.171099636106,13886.649121166083,134,85899.037,10,0,POINT (-6515278.659359072 -4114576.319074007),-6515278.659359072,-4114576.319074007,Amadeo Jacques,6980,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
6,7,35,129,129,0,1,-34.616377,-58.527598,180000,1395.0,1495.8336513309991,13466.81997614504,34,115485.935,5,0,POINT (-6515262.406713417 -4111869.748170793),-6515262.406713417,-4111869.748170793,Francisco Bauzá,2780,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
7,8,97,268,268,0,0,-34.644692,-58.527501,390000,1455.223881,1711.0065981395717,14133.53277994544,58,61231.55,5,0,POINT (-6515251.60872281 -4115700.427085229),-6515251.60872281,-4115700.4270852287,Tuyutí,7205,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
8,9,1,270,270,4,4,-34.644636,-58.527448,390000,1444.0,1704.0044258257608,14126.937095707595,59,60861.066,6,0,POINT (-6515245.708789797 -4115692.849668185),-6515245.7087897975,-4115692.8496681848,José León Suárez,493,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
9,10,40,268,246,5,2,-34.6448,-58.527318,360000,1463.0,1719.7681994847774,14121.499791804295,55,61723.522,4,0,POINT (-6515231.237255995 -4115715.040689695),-6515231.237255995,-4115715.0406896947,José León Suárez,-9999,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
10,11,0,63,63,0,2,-34.640227,-58.526303,46632,740.0,1204.0140424642373,13877.266486169126,167,71297.385,14,0,POINT (-6515118.247972839 -4115096.279448657),-6515118.247972839,-4115096.279448657,Coronel Ramón Lorenzo Falcón,7099,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
11,12,25,50,50,0,1,-34.613664,-58.525795,490000,9800.0,1768.1027250777456,13274.138917520466,40,123950.874,3,0,POINT (-6515061.697671516 -4111502.78052255),-6515061.697671516,-4111502.78052255,Avenida Lope de Vega,3176,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
12,13,0,512,512,0,0,-34.634756,-58.525731,900000,1757.0,599.4888101578505,13661.998172573794,97,99139.819,7,0,POINT (-6515054.573224106 -4114356.056890436),-6515054.573224106,-4114356.056890436,Madero,-9999,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
13,14,40,26,26,0,1,-34.63928,-58.525572,98000,3769.0,1090.029275980476,13782.785460275723,168,74559.22899999999,14,0,POINT (-6515036.873425069 -4114968.147501773),-6515036.873425069,-4114968.147501773,Avenida Rivadavia,-9999,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
14,15,0,360,320,6,4,-34.640109,-58.525012,790000,2468.0,1176.2798340856289,13760.237727852536,175,71188.742,14,0,POINT (-6514974.534510224 -4115080.313614125),-6514974.534510224,-4115080.3136141254,Carhué,-9999,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
15,16,30,200,200,0,2,-34.640116,-58.525001,370000,1850.0,1176.9781048839618,13759.500834530298,175,71160.318,14,0,POINT (-6514973.309995826 -4115081.260739269),-6514973.309995826,-4115081.2607392687,Carhué,100,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
16,17,0,320,0,0,0,-34.618953,-58.524956,352000,1100.0,1177.0338381943618,13259.074047266762,39,105792.951,4,1,POINT (-6514968.300618741 -4112218.195933298),-6514968.300618741,-4112218.1959332977,Simbrón,5599,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
17,18,0,115,115,0,1,-34.639152,-58.524767,780000,6782.0,1068.8141050450413,13707.9989017862,172,72859.802,12,0,POINT (-6514947.26123498 -4114950.828829224),-6514947.26123498,-4114950.8288292238,Avenida Rivadavia,11384,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
18,19,0,115,115,0,1,-34.639152,-58.524767,780000,6782.0,1068.8141050450413,13707.9989017862,172,72859.802,12,0,POINT (-6514947.26123498 -4114950.828829224),-6514947.26123498,-4114950.8288292238,Avenida Rivadavia,11384,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
19,20,50,516,516,0,2,-34.634597,-58.524032,900000,1744.0,561.4229799495137,13506.802314943005,76,93308.285,5,0,POINT (-6514865.441409248 -4114334.545029297),-6514865.441409248,-4114334.545029297,Fragueiro,399,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
20,21,30,120,120,0,3,-34.640216,-58.523914,620000,5166.0,1184.8158038181734,13667.516963710608,155,70859.378,12,0,POINT (-6514852.305709335 -4115094.79110719),-6514852.305709335,-4115094.7911071903,Coronel Ramón Lorenzo Falcón,6918,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
21,22,0,130,130,0,1,-34.638967,-58.523671,775000,5961.538462,1046.7475075277275,13605.84278264375,144,71896.705,11,0,POINT (-6514825.255073071 -4114925.797982538),-6514825.255073071,-4114925.797982538,Cosquín,2,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
22,23,60,30,30,1,0,-34.653309,-58.523208,47000,1566.0,2225.033745729132,14105.503712287926,30,123633.71,2,0,POINT (-6514773.714148834 -4116866.46312157),-6514773.714148834,-4116866.4631215697,Montiel,1301,9,LINIERS,9162.535076738097,3428.444997210699,NO CARACTERIZADO
23,24,0,246,0,0,0,-34.619266,-58.523095,440000,1789.0,1142.585928878558,13094.31028558696,40,97342.01,0,1,POINT (-6514761.135046374 -4112260.535237576),-6514761.135046374,-4112260.5352375763,Moliere,2490,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
24,25,10,68,68,0,1,-34.617376,-58.523038,85000,1250.0,1352.086137636486,13063.268731914108,38,109202.879,3,1,POINT (-6514754.789835399 -4112004.878608612),-6514754.789835399,-4112004.8786086123,Virgilio,2600,10,VILLA REAL,8773.980908917203,3209.0913667210157,NO CARACTERIZADO
