BARRIO;ZONA
CONSTITUCION;Centro
SAN TELMO;Centro
PUERTO MADERO;Centro
MONSERRAT;Centro
SAN NICOLAS;Centro
RETIRO;Centro
RECOLETA;Norte
SAN CRISTOBAL;Centro
BALVANERA;Centro
PARQUE PATRICIOS;Sur
BARRACAS;Sur
NUEVA POMPEYA;Sur
BOCA;Sur
ALMAGRO;Centro
BOEDO;Centro
CABALLITO;Centro
FLORES;Centro
PARQUE CHACABUCO;Centro
VILLA LUGANO;Sur
VILLA RIACHUELO;Sur
VILLA SOLDATI;Sur
MATADEROS;Sur
PARQUE AVELLANEDA;Sur
LINIERS;Sur
MONTE CASTRO;Sur
VILLA REAL;Sur
FLORESTA;Sur
VELEZ SARSFIELD;Sur
VILLA LURO;Sur
VERSALLES;Sur
VILLA DEL PARQUE;Centro
VILLA SANTA RITA;Centro
VILLA GRAL. MITRE;Centro
VILLA DEVOTO;Centro
SAAVEDRA;Centro
COGHLAN;Centro
VILLA URQUIZA;Centro
VILLA PUEYRREDON;Centro
COLEGIALES;Norte
BELGRANO;Norte
NU„EZ;Norte
PALERMO;Norte
CHACARITA;Centro
PATERNAL;Centro
VILLA CRESPO;Centro
PARQUE CHAS;Centro
AGRONOMIA;Centro
VILLA ORTUZAR;Centro
